Kyle Van Wynsberghe,"Michael Domagala kickoff 55 yards to the QUE10, Jesse Andrews return 29 yards to the QUE39 (Kyle Van Wynsberghe",TACKLER_ONE
Thomas Knapp,Jesse Andrews rush for 6 yards to the QUE45 (Thomas Knapp).,TACKLER_ONE
James McCallum,"Nate Hobbs pass complete to Aaron Dowd for 9 yards to the QUE54,  (James McCallum).",TACKLER_ONE
Doug Corby,Nate Hobbs pass incomplete to Doug Corby.,RECEIVER
Mitchel Henselwood,"Dillon Wamsley kickoff 53 yards to the CAR12, Tunde Adeleke return 23 yards to the CAR35 (Mitchel Henselwood).",TACKLER_ONE
Jason Shamatutu,Jesse Mills pass complete to Nathaniel Behar for 3 yards to the CAR38 (Jason Shamatutu).,TACKLER_ONE
O. Ogunyinka,Jesse Andrews rush for 6 yards to the QUE33 (O. Ogunyinka).,TACKLER_ONE
Connor Weir,Nate Hobbs pass incomplete to Connor Weir.,RECEIVER
Peter Hannon,"Dillon Wamsley punt 57 yards to the CAR20, Tunde Adeleke return 10 yards to the CAR30 (Peter Hannon).",TACKLER_ONE
Nelkas Kwemo,S. Napolitano rush for 5 yards to the CAR35 (Nelkas Kwemo).,TACKLER_ONE
Keith Graham,"Michael Domagala punt 36 yards to the QUE39, Doug Corby return 15 yards to the QUE54 (Keith Graham).",TACKLER_ONE
N. Hamlin,"Jesse Andrews rush for 5 yards to the CAR42,  (N. Hamlin",TACKLER_ONE
George Saloum,Nate Hobbs sacked for -6 yards to the CAR48 (George Saloum).,TACKLER_ONE
Wilson Birch,Jesse Mills pass complete to Wilson Birch for 6 yards to the CAR15 (Jake Firlotte).,RECEIVER
Theshawn Barry,Jesse Mills pass incomplete to Theshawn Barry.,RECEIVER
K. Veilleux-V,"Michael Domagala punt 35 yards to the QUE36, Doug Corby return 9 yards to the QUE45 (K. Veilleux-V).",TACKLER_ONE
Emmaunel Adusei,Jesse Andrews rush for 1 yard to the CAR52 (Emmaunel Adusei).,TACKLER_ONE
Jesse St John,"Jesse St John rush for 2 yards to the QUE20,  (Luke Ball).",RUSHER
Luke Ball,"Jesse St John rush for 2 yards to the QUE20,  (Luke Ball).",TACKLER_ONE
Justin Howell-Dunca,Nate Hobbs pass incomplete to Doug Corby (Justin Howell-Dunca).,TACKLER_ONE
Jeremy Rioux,"Nate Hobbs sacked for -6 yards to the QUE30 (Jeremy Rioux), fumble by TEAM recovered by CAR Jeremy Rioux at QUE30.",TACKLER_ONE
S Napolitano,Jesse Mills pass complete to S Napolitano for 6 yards to the CAR41 (Corey Flude).,RECEIVER
Justin Gleben,"Nate Hobbs pass complete to Justin Gleben for 14 yards to the QUE34,  (Tunde Adeleke).",RECEIVER
Adam Black,"Dillon Wamsley kickoff 67 yards to the CAR-2, Tunde Adeleke return 29 yards to the CAR27 (Adam Black).",TACKLER_ONE
Frederic Kinkead,Jesse Mills pass complete to Theshawn Barry for 4 yards to the CAR45 (Frederic Kinkead).,TACKLER_ONE
Kurtis Schaefer,"Dillon Wamsley kickoff 23 yards to the CAR52, S Napolitano return 6 yards to the QUE52 (Kurtis Schaefer",TACKLER_ONE
Emilio Gallotta,"Michael Domagala punt 45 yards to the QUE1, Doug Corby return -1 yards to the QUE0 (Emilio Gallotta), TEAM SAFETY,  09:53.",TACKLER_ONE
Tanner Gennaro,"Jesse Mills pass complete to Nathaniel Behar for no gain to the CAR37, Dexter Brown for 23 yards to the QUE50,  (Tanner Gennaro).",TACKLER_ONE
Nicholas Fraser-Greene,"Michael Domagala punt 35 yards to the CAR53, Nicholas Fraser-Greene return 15 yards to the CAR38 (Carlo Gallotta",RETURNER
Carlo Gallotta,"Michael Domagala punt 35 yards to the CAR53, Nicholas Fraser-Greene return 15 yards to the CAR38 (Carlo Gallotta",TACKLER_ONE
Nick Naylor,"Nick Naylor kickoff 65 yards to the WLU0, Will Pitt-Doe return 26 yards to the WLU26 (Hussein Hazime).",KICKER
Will Pitt-Doe,"Nick Naylor kickoff 65 yards to the WLU0, Will Pitt-Doe return 26 yards to the WLU26 (Hussein Hazime).",RETURNER
Hussein Hazime,"Nick Naylor kickoff 65 yards to the WLU0, Will Pitt-Doe return 26 yards to the WLU26 (Hussein Hazime).",TACKLER_ONE
Dave Campbell,Dave Campbell rush for 2 yards to the WLU28 (Reid Jeffs).,RUSHER
Reid Jeffs,Dave Campbell rush for 2 yards to the WLU28 (Reid Jeffs).,TACKLER_ONE
Eric Morelli,"Eric Morelli pass complete to Greg Nyhof for 9 yards to the WLU37,  (Nikita Starchenko).",PASSER
Greg Nyhof,"Eric Morelli pass complete to Greg Nyhof for 9 yards to the WLU37,  (Nikita Starchenko).",RECEIVER
Nikita Starchenko,"Eric Morelli pass complete to Greg Nyhof for 9 yards to the WLU37,  (Nikita Starchenko).",TACKLER_ONE
Anthony Pizzuti,"Eric Morelli pass complete to Anthony Pizzuti for 18 yards to the WLU53,  (Jakob Butler), PENALTY YRK IP declined.",RECEIVER
Jakob Butler,"Eric Morelli pass complete to Anthony Pizzuti for 18 yards to the WLU53,  (Jakob Butler), PENALTY YRK IP declined.",TACKLER_ONE
Kurleigh Gittens Jr,Eric Morelli pass complete to Kurleigh Gittens Jr for 7 yards to the YRK50 (Josh Small).,RECEIVER
Josh Small,Eric Morelli pass complete to Kurleigh Gittens Jr for 7 yards to the YRK50 (Josh Small).,TACKLER_ONE
Damone Williams,"Dave Campbell rush for 5 yards to the YRK45,  (Damone Williams).",TACKLER_ONE
Nathan Mesher,"Nathan Mesher punt 38 yards to the YRK5, Jacob Janke return -1 yards to the YRK4, PENALTY WLU holding 10 yards to the YRK14, 1st and 10, .",KICKER
Jacob Janke,"Nathan Mesher punt 38 yards to the YRK5, Jacob Janke return -1 yards to the YRK4, PENALTY WLU holding 10 yards to the YRK14, 1st and 10, .",RETURNER
Joey Ricottone,"Jahmari Bennett pass complete to Joey Ricottone for 6 yards to the YRK20, out-of-bounds (Ron Kinga).",RECEIVER
Ron Kinga,"Jahmari Bennett pass complete to Joey Ricottone for 6 yards to the YRK20, out-of-bounds (Ron Kinga).",TACKLER_ONE
M Fraser,M Fraser rush for 1 yard to the YRK21 (Anthony Petrucci).,RUSHER
Anthony Petrucci,M Fraser rush for 1 yard to the YRK21 (Anthony Petrucci).,TACKLER_ONE
Carson Ouellette,"Nick Naylor punt 33 yards to the YRK54, Carson Ouellette return 7 yards to the YRK47, out-of-bounds (Joey Ricottone).",RETURNER
Eric Guiltinan,Eric Guiltinan rush for 4 yards to the YRK43 (Mathew Skoko,RUSHER
Mathew Skoko,Eric Guiltinan rush for 4 yards to the YRK43 (Mathew Skoko,TACKLER_ONE
Nathaniel Pinto,Jahmari Bennett pass complete to Nathaniel Pinto for 6 yards to the YRK29.,RECEIVER
Rees Paterson,Dave Campbell rush for 4 yards to the WLU55 (Rees Paterson,TACKLER_ONE
Malcolm Thompson,Jahmari Bennett pass complete to Nathaniel Pinto for 7 yards to the YRK13 (Malcolm Thompson).,TACKLER_ONE
Nakas Onyeka,"Jahmari Bennett pass complete to Joey Ricottone for 14 yards to the YRK27,  (Nakas Onyeka).",TACKLER_ONE
Adam Adeboboye,Jahmari Bennett pass incomplete to Adam Adeboboye.,RECEIVER
Connor Pritty,Eric Morelli pass complete to Kurleigh Gittens Jr for 7 yards to the YRK23 (Connor Pritty,TACKLER_ONE
Noah Usherwood,"Nathan Mesher kickoff 56 yards to the YRK9, Nathaniel Pinto return 20 yards to the YRK29 (Noah Usherwood).",TACKLER_ONE
Colton Hunchak,"Jahmari Bennett pass complete to Colton Hunchak for 10 yards to the YRK39, out-of-bounds.",RECEIVER
Zeph Fraser,"Eric Morelli pass complete to Zeph Fraser for 43 yards to the YRK0, TOUCHDOWN,  14:24.",RECEIVER
Brandon Calver,"M Fraser rush for no gain to the YRK40 (Brandon Calver), PENALTY YRK holding 10 yards to the YRK30, NO PLAY.",TACKLER_ONE
Cole Austen,Dave Campbell rush for 4 yards to the WLU42 (Cole Austen).,TACKLER_ONE
Jon Timmons,"Nathan Mesher punt 31 yards to the YRK36, Jacob Janke return 0 yards to the YRK36 (Jon Timmons).",TACKLER_ONE
Brett Hunchak,Brett Hunchak pass complete to Nathaniel Pinto for 6 yards to the YRK42 (Ron Kinga).,PASSER
Ian Lawrence,"Nick Naylor kickoff 61 yards to the WLU4, Will Pitt-Doe return 29 yards to the WLU33, out-of-bounds (Ian Lawrence).",TACKLER_ONE
Marcus Arkarakas,Eric Morelli pass incomplete to Marcus Arkarakas (Jakob Butler).,RECEIVER
M Williams,"Nathan Mesher punt 29 yards to the YRK45, Jacob Janke return 3 yards to the YRK48 (M Williams",TACKLER_ONE
Kwaku Boateng,M Fraser rush for 3 yards to the YRK51 (Kwaku Boateng).,TACKLER_ONE
Malik Langston,"Nick Naylor punt 42 yards to the WLU5, Carson Ouellette return 2 yards to the WLU7 (Malik Langston).",TACKLER_ONE
Craig Yeboah,Eric Morelli pass incomplete to Craig Yeboah.,RECEIVER
Jesse Amankwaa,"Jesse Amankwaa rush for 12 yards to the YRK32,  (Brandon Calver).",RUSHER
Rochae Henry,Jesse Amankwaa rush for 3 yards to the YRK35 (Rochae Henry).,TACKLER_ONE
N Ude,"Nick Naylor punt 35 yards to the WLU40, Carson Ouellette return 10 yards to the WLU50 (N Ude), PENALTY WLU face mask 15 yards to the WLU35, 1st and 10, .",TACKLER_ONE
Scott Noivo,Eric Morelli pass complete to Anthony Pizzuti for 5 yards to the WLU35 (Scott Noivo).,TACKLER_ONE
Darian Waite,"Nathan Mesher punt 39 yards to the YRK36, Jacob Janke return 2 yards to the YRK38 (Darian Waite).",TACKLER_ONE
Damon Morgan,"Nick Naylor punt 47 yards to the WLU22, Carson Ouellette return 25 yards to the WLU47 (Damon Morgan), PENALTY YRK UR 15 yards to the YRK48, 1st and 10, .",TACKLER_ONE
Isaiah Guzylak-Messam,"Nathan Mesher kickoff 53 yards to the YRK12, Jacob Janke return 13 yards to the YRK25 (Isaiah Guzylak-Messam).",TACKLER_ONE
Austin Reusch,"Jahmari Bennett pass complete to Colton Hunchak for 10 yards to the YRK35,  (Austin Reusch).",TACKLER_ONE
Brett Colangelo,"Eric Morelli pass complete to Greg Nyhof for 12 yards to the YRK12,  (Brett Colangelo).",TACKLER_ONE
M Sagbilge,Dave Campbell rush for 6 yards to the YRK6 (M Sagbilge,TACKLER_ONE
Stu Smith,Jahmari Bennett pass complete to Colton Hunchak for 9 yards to the WLU54 (Stu Smith,TACKLER_ONE
Jamie Young,"Eric Morelli rush for 1 yard to the WLU50,  (Jamie Young).",TACKLER_ONE
M Runowski,Dave Campbell rush for -2 yards to the WLU48 (M Runowski,TACKLER_ONE
James Price,"Jesse Amankwaa rush for 4 yards to the YRK38,  (James Price",TACKLER_ONE
Scott Hutter,Jahmari Bennett pass complete to Colton Hunchak for 3 yards to the WLU53 (Scott Hutter,TACKLER_ONE
T James,"Jesse Amankwaa rush for 5 yards to the YRK15,  (T James",TACKLER_ONE
Nikola Kalinic,"Jahmari Bennett pass complete to Nikola Kalinic for 15 yards to the YRK30,  (Brandon Calver).",RECEIVER
Jon Zarafonitis,Jesse Amankwaa rush for no gain to the YRK30 (Jon Zarafonitis).,TACKLER_ONE
Eric Kimmerly,Eric Kimmerly rush for 1 yard to the WLU47 (Jon Zarafonitis,RUSHER
D Panos,"Nick Naylor kickoff 66 yards to the WLU-1, Will Pitt-Doe return 20 yards to the WLU19 (D Panos).",TACKLER_ONE
Osayi Iginuan,"Nathan Mesher kickoff 50 yards to the YRK15, Nathaniel Pinto return 13 yards to the YRK28 (Osayi Iginuan).",TACKLER_ONE
Ben Kelly,"Ben Kelly kickoff 68 yards to the WIN-3, Jaydon Gauthier return 27 yards to the WIN24 (Josh Woodman).",KICKER
Jaydon Gauthier,"Ben Kelly kickoff 68 yards to the WIN-3, Jaydon Gauthier return 27 yards to the WIN24 (Josh Woodman).",RETURNER
Josh Woodman,"Ben Kelly kickoff 68 yards to the WIN-3, Jaydon Gauthier return 27 yards to the WIN24 (Josh Woodman).",TACKLER_ONE
Tarrence Crawford,Tarrence Crawford rush for 3 yards to the WIN27 (Preston Huggins).,RUSHER
Preston Huggins,Tarrence Crawford rush for 3 yards to the WIN27 (Preston Huggins).,TACKLER_ONE
Andrew Pedda,Tarrence Crawford rush for no gain to the WIN27 (Andrew Pedda,TACKLER_ONE
Anthony Malandruccolo,"Anthony Malandruccolo punt 21 yards to the WIN48, Justin Sanvido return 6 yards to the WIN42 (Nick Vincent",KICKER
Justin Sanvido,"Anthony Malandruccolo punt 21 yards to the WIN48, Justin Sanvido return 6 yards to the WIN42 (Nick Vincent",RETURNER
Nick Vincent,"Anthony Malandruccolo punt 21 yards to the WIN48, Justin Sanvido return 6 yards to the WIN42 (Nick Vincent",TACKLER_ONE
Will Finch,"Will Finch pass complete to Matt Uren for 22 yards to the WIN20,  (Matt Gayer).",PASSER
Matt Uren,"Will Finch pass complete to Matt Uren for 22 yards to the WIN20,  (Matt Gayer).",RECEIVER
Matt Gayer,"Will Finch pass complete to Matt Uren for 22 yards to the WIN20,  (Matt Gayer).",TACKLER_ONE
G Johnson,Will Finch pass complete to G Johnson for 4 yards to the WIN16 (Austin Crumb).,RECEIVER
Austin Crumb,Will Finch pass complete to G Johnson for 4 yards to the WIN16 (Austin Crumb).,TACKLER_ONE
Yannick Harou,Yannick Harou rush for 1 yard to the WIN15 (Matt Gayer).,RUSHER
Dave McDuffie,Dave McDuffie rush for no gain to the WIN35 (Mason Brown,RUSHER
Mason Brown,Dave McDuffie rush for no gain to the WIN35 (Mason Brown,TACKLER_ONE
Casey Wright,"Casey Wright pass intercepted by K Johnson at the WES51, K Johnson return -6 yards to the WES45, fumble by K Johnson recovered by WES C Harris at WES45. PENALTY WES holding 10 yards to the WES35.",PASSER
K Johnson,"Casey Wright pass intercepted by K Johnson at the WES51, K Johnson return -6 yards to the WES45, fumble by K Johnson recovered by WES C Harris at WES45. PENALTY WES holding 10 yards to the WES35.",INTERCEPTER
Alex Taylor,Alex Taylor rush for 7 yards to the WES42 (Joe Iatzko,RUSHER
Joe Iatzko,Alex Taylor rush for 7 yards to the WES42 (Joe Iatzko,TACKLER_ONE
Marcel Ugoh,"Alex Taylor rush for 5 yards to the WES47,  (Marcel Ugoh).",TACKLER_ONE
Spencer Trinier,"Will Finch pass complete to Matt Uren for 7 yards to the WIN49,  (Spencer Trinier).",TACKLER_ONE
Olalekan Idowu,"Alex Taylor rush for 12 yards to the WIN37,  (Olalekan Idowu).",TACKLER_ONE
Ty Marshall,"Will Finch pass complete to Ty Marshall for 12 yards to the WIN16,  (Tarik Bonas).",RECEIVER
Tarik Bonas,"Will Finch pass complete to Ty Marshall for 12 yards to the WIN16,  (Tarik Bonas).",TACKLER_ONE
Jesse McNair,"Ben Kelly kickoff 65 yards to the WIN0, Jaydon Gauthier return 26 yards to the WIN26 (Jesse McNair).",TACKLER_ONE
Nick Vanin,Casey Wright sacked for -5 yards to the WIN21 (Nick Vanin).,TACKLER_ONE
Gilbert Stewart,"Casey Wright pass complete to Gilbert Stewart for 17 yards to the WIN38,  (C. Harris).",RECEIVER
C. Harris,"Casey Wright pass complete to Gilbert Stewart for 17 yards to the WIN38,  (C. Harris).",TACKLER_ONE
J. Poulin,Tarrence Crawford rush for no gain to the WIN38 (J. Poulin,TACKLER_ONE
C Harris,"Anthony Malandruccolo punt 40 yards to the WES26, C Harris return 12 yards to the WES38, out-of-bounds (Nate O'Halloran).",RETURNER
Nate O'Halloran,"Anthony Malandruccolo punt 40 yards to the WES26, C Harris return 12 yards to the WES38, out-of-bounds (Nate O'Halloran).",TACKLER_ONE
Courtney Ellis,Will Finch sacked for -2 yards to the WES36 (Courtney Ellis).,TACKLER_ONE
David Mackie,"Ben Kelly punt 36 yards to the WIN39, Dave McDuffie return 5 yards to the WIN44 (David Mackie).",TACKLER_ONE
Matt Brazier,Will Finch pass complete to Matt Brazier for 9 yards to the WES55 (Austin Crumb,RECEIVER
Connor Lesperance,Alex Taylor rush for -1 yard to the WIN46 (Connor Lesperance,TACKLER_ONE
Liam Putt,Liam Putt pass incomplete to Beau Lumley.,PASSER
Beau Lumley,Liam Putt pass incomplete to Beau Lumley.,RECEIVER
Jeff Masson,Liam Putt pass incomplete to Jeff Masson.,RECEIVER
Mark Carter,Liam Putt pass incomplete to Mark Carter.,RECEIVER
Devon Woods,"Anthony Malandruccolo punt 50 yards to the WES9, Justin Sanvido return 6 yards to the WES15 (Devon Woods",TACKLER_ONE
Kuinton Elliott,"Will Finch pass complete to Justin Sanvido for 9 yards to the WES29,  (Kuinton Elliott).",TACKLER_ONE
Hector De La Rosa,Liam Putt rush for no gain to the WES47 (Hector De La Rosa).,TACKLER_ONE
Matthew McDougall,"Will Finch pass complete to Matthew McDougall for 5 yards to the WIN50,  (Spencer Trinier).",RECEIVER
Austin Thornton,Will Finch sacked for -4 yards to the WIN54 (Austin Thornton).,TACKLER_ONE
Matt Brown,"Casey Wright pass intercepted by Matt Brown at the WES43, Matt Brown return 8 yards to the WES51 (Jaydon Gauthier).",INTERCEPTER
Myles Rombough,"Ben Kelly kickoff 60 yards to the WIN5, Jaydon Gauthier return 14 yards to the WIN19 (Myles Rombough).",TACKLER_ONE
C. Martin,Dave McDuffie rush for 4 yards to the WIN23 (C. Martin,TACKLER_ONE
Nick Simone,Matt Uren rush for 4 yards to the WES46 (Nick Simone).,TACKLER_ONE
Jordan Beaulieu,"Ben Kelly punt 33 yards to the WIN22, Spencer Trinier return 4 yards to the WIN26 (Jordan Beaulieu",TACKLER_ONE
Robert Butcher,Tarrence Crawford rush for 3 yards to the WIN29 (Robert Butcher).,TACKLER_ONE
Jamal Kett,"Will Finch pass complete to Jamal Kett for 21 yards to the WES46,  (Spencer Trinier).",RECEIVER
John Biewald,Tarrence Crawford rush for 4 yards to the WIN32 (John Biewald).,TACKLER_ONE
Marcus Kentner,"Ben Kelly kickoff 67 yards to the WIN-2, Marcus Kentner return to the WIN20 (Jesse McNair), PENALTY WES IP defense 5 yards to the WES40, NO PLAY.",RETURNER
Cory Roboch,"Jaydon Gauthier rush for 14 yards to the 55 yardline,  (Cory Roboch).",TACKLER_ONE
Adam Sinclair,"Adam Sinclair rush for 51 yards to the WIN34,  (Matt Gayer).",RUSHER
Cedric Joseph,"Cedric Joseph rush for 4 yards to the WIN30 (Olalekan Idowu), PENALTY WES holding 10 yards to the WIN44, NO PLAY.",RUSHER
Marvin Gaynor,"Ben Kelly kickoff 72 yards to the WIN-7, Marvin Gaynor return 20 yards to the WIN13 (David Mackie",RETURNER
Jack Beach,"Jack Beach pass complete to Jamal Kett for 7 yards to the WIN22,  (Austin Crumb).",PASSER
Matt Gruniger,"Ben Kelly kickoff 64 yards to the WIN1, Dave McDuffie return 20 yards to the WIN21 (Matt Gruniger).",TACKLER_ONE
K. Johnson,Jaydon Gauthier rush for 8 yards to the WES23 (K. Johnson).,TACKLER_ONE
Matt Lefler,"Adam Sinclair rush for 9 yards to the WES49 (Matt Lefler), PENALTY WES IP 5 yards to the WES35, NO PLAY.",TACKLER_ONE
Phillipe Dion,"Ben Kelly kickoff 56 yards to the WIN9, Dave McDuffie return 9 yards to the WIN18 (Phillipe Dion).",TACKLER_ONE
James Sifakis,"James Sifakis rush for 20 yards to the WIN28,  (Spencer Trinier).",RUSHER
Luke Lefler,James Sifakis rush for 3 yards to the WIN25 (Luke Lefler).,TACKLER_ONE
Harry McMaster,Jack Beach pass complete to Harry McMaster for 3 yards to the WES38 (Austin Crumb).,RECEIVER
John Langley,Cedric Joseph rush for 4 yards to the WES42 (John Langley).,TACKLER_ONE
Anthony Iafrate,"Anthony Iafrate kickoff 66 yards to the MAC-1, Aaron Baker return 9 yards to the MAC8 (Austin Rosbrook).",KICKER
Aaron Baker,"Anthony Iafrate kickoff 66 yards to the MAC-1, Aaron Baker return 9 yards to the MAC8 (Austin Rosbrook).",RETURNER
Austin Rosbrook,"Anthony Iafrate kickoff 66 yards to the MAC-1, Aaron Baker return 9 yards to the MAC8 (Austin Rosbrook).",TACKLER_ONE
Wayne Moore,Wayne Moore rush for 5 yards to the MAC13 (Zack Lukings).,RUSHER
Zack Lukings,Wayne Moore rush for 5 yards to the MAC13 (Zack Lukings).,TACKLER_ONE
Asher Hastings,Asher Hastings pass incomplete to Josh Vandeweerd.,PASSER
Josh Vandeweerd,Asher Hastings pass incomplete to Josh Vandeweerd.,RECEIVER
Anthony Naccarato,Anthony Naccarato rush for -1 yard to the TOR34.,RUSHER
Simon Nassar,"Simon Nassar pass complete to Boris Isakov for 29 yards to the MAC47,  (Robbie Yochim).",PASSER
Boris Isakov,"Simon Nassar pass complete to Boris Isakov for 29 yards to the MAC47,  (Robbie Yochim).",RECEIVER
Robbie Yochim,"Simon Nassar pass complete to Boris Isakov for 29 yards to the MAC47,  (Robbie Yochim).",TACKLER_ONE
Domenic Battistella,"Simon Nassar pass complete to Domenic Battistella for 13 yards to the MAC34 (Adam Poole), PENALTY TOR IP 5 yards to the MAC52, NO PLAY.",RECEIVER
Adam Poole,"Simon Nassar pass complete to Domenic Battistella for 13 yards to the MAC34 (Adam Poole), PENALTY TOR IP 5 yards to the MAC52, NO PLAY.",TACKLER_ONE
Divante Smith,Simon Nassar pass complete to Divante Smith for 2 yards to the MAC50 (Robbie Yochim).,RECEIVER
Steven McNicoll,Simon Nassar pass incomplete to Anthony Naccarato (Steven McNicoll).,TACKLER_ONE
TJ Morton,"TJ Morton punt 47 yards to the MAC3, PENALTY TOR no yards 15 yards to the MAC18, 1st and 10, .",KICKER
Matthew Renaud,Wayne Moore rush for 6 yards to the MAC24 (Matthew Renaud).,TACKLER_ONE
Max Cameron,Asher Hastings pass incomplete to Max Cameron.,RECEIVER
Bobby Frame,"Bobby Frame punt 20 yards to the MAC44, out-of-bounds.",KICKER
Trevor Harvey,"Asher Hastings pass complete to Max Cameron for 27 yards to the TOR39,  (Trevor Harvey).",TACKLER_ONE
Adrian Bernard,Asher Hastings pass complete to Aaron Baker for 3 yards to the TOR36 (Adrian Bernard,TACKLER_ONE
Daniel Vandervoort,"Asher Hastings pass complete to Daniel Vandervoort for 9 yards to the TOR27,  (Richard Gillespie).",RECEIVER
Richard Gillespie,"Asher Hastings pass complete to Daniel Vandervoort for 9 yards to the TOR27,  (Richard Gillespie).",TACKLER_ONE
Corey Williams,Wayne Moore rush for 6 yards to the TOR10 (Corey Williams).,TACKLER_ONE
Mike Kashak,Divante Smith rush for -1 yard to the TOR34 (Mike Kashak).,TACKLER_ONE
Marcus Hobbs,Marcus Hobbs rush for no gain to the TOR44 (Tavis Nicoll).,RUSHER
Tavis Nicoll,Marcus Hobbs rush for no gain to the TOR44 (Tavis Nicoll).,TACKLER_ONE
Daniel Petermann,"Asher Hastings pass complete to Daniel Petermann for 6 yards to the TOR38 (Peter Harris), PENALTY TOR unnecessary roughness 15 yards to the TOR23, .",RECEIVER
Peter Harris,"Asher Hastings pass complete to Daniel Petermann for 6 yards to the TOR38 (Peter Harris), PENALTY TOR unnecessary roughness 15 yards to the TOR23, .",TACKLER_ONE
Nick Hallett,"Asher Hastings pass complete to Josh Vandeweerd for 12 yards to the TOR,  (Nick Hallett).",TACKLER_ONE
Davis Kasean,Davis Kasean rush for 7 yards to the TOR4 (Ryan Searle).,RUSHER
Ryan Searle,Davis Kasean rush for 7 yards to the TOR4 (Ryan Searle).,TACKLER_ONE
Mitch Weiler,"Bobby Frame kickoff 22 yards to the TOR43, Domenic Battistella return 0 yards to the TOR43 (Mitch Weiler), PENALTY MAC IB declined.",TACKLER_ONE
Cole Munden,"Simon Nassar pass complete to Domenic Battistella for 33 yards to the MAC14,  (Cole Munden).",TACKLER_ONE
Jaiden McBride,"Anthony Iafrate kickoff 59 yards to the MAC6, Aaron Baker return 11 yards to the MAC17 (Jaiden McBride).",TACKLER_ONE
Jason Richardson,"Simon Nassar rush for 3 yards to the MAC10 (Jason Richardson), PENALTY MAC IC 6 yards to the MAC7, NO PLAY.",TACKLER_ONE
Bennett Megarry,Divante Smith rush for no gain to the MAC7 (Bennett Megarry).,TACKLER_ONE
Rahul Madan,"Simon Nassar pass incomplete to Rahul Madan, PENALTY MAC IP 3 yards to the MAC4, NO PLAY.",RECEIVER
Mark Mackie,"Simon Nassar sacked for -6 yards to the MAC33 (Mark Mackie), PENALTY TOR holding declined.",TACKLER_ONE
Keldyn Ahlstedt,"Bobby Frame kickoff 66 yards to the TOR-1, Trevor Harvey return 22 yards to the TOR21 (Keldyn Ahlstedt).",TACKLER_ONE
Jacob Heathcote,Simon Nassar pass complete to Domenic Battistella for 4 yards to the MAC19 (Jacob Heathcote).,TACKLER_ONE
Andrew Sinclair,"Asher Hastings pass complete to Andrew Sinclair for 17 yards to the TOR35,  (Richard Gillespie).",RECEIVER
